CITY_TR,DISTRICT_TR,CITY_EN,DISTRICT_EN,DISSOLVEDC,DISTRICTCODE,INSHP,CITYDATE,DISTRICTDATE,DISTRICTFROM,DISSOLVE,CENTRALOLD,CENTRALDISTRICT,DISTRICTCOUNT,CITYCODE,ISO31662,NUTS,AREA,POP2000,POP2014,FROM,FROMDATE,METROPOL,METROPOLDATE
Aydın,Merkez,Aydin,Merkez,1159,1159,0,,,,7,1,0,17,9,TR-09,TR321,7904.43,950757,1041979,NA,NA,1,2013
Aydın,Nazilli,Aydin,Nazilli,1542,1542,1,,,,,0,0,17,9,TR-09,TR321,7904.43,950757,1041979,NA,NA,1,2013
Aydın,Söke,Aydin,Soke,1637,1637,1,,,,,0,0,17,9,TR-09,TR321,7904.43,950757,1041979,NA,NA,1,2013
Aydın,Sultanhisar,Aydin,Sultanhisar,1640,1640,1,,,,,0,0,17,9,TR-09,TR321,7904.43,950757,1041979,NA,NA,1,2013
Aydın,Yenipazar,Aydin,Yenipazar,1724,1724,1,,,,,0,0,17,9,TR-09,TR321,7904.43,950757,1041979,NA,NA,1,2013
Balıkesir,Altıeylül,Balikesir,Altieylul,1168,2077,1,,12/06/12,Merkez,8,0,1,20,10,TR-10,TR221,14472.73,1076347,1189057,NA,NA,1,2013
Balıkesir,Ayvalık,Balikesir,Ayvalik,1161,1161,1,,,,,0,0,20,10,TR-10,TR221,14472.73,1076347,1189057,NA,NA,1,2013
Balıkesir,Balya,Balikesir,Balya,1169,1169,1,,,,,0,0,20,10,TR-10,TR221,14472.73,1076347,1189057,NA,NA,1,2013
Balıkesir,Bandırma,Balikesir,Bandirma,1171,1171,1,,,,,0,0,20,10,TR-10,TR221,14472.73,1076347,1189057,NA,NA,1,2013
Balıkesir,Bigadiç,Balikesir,Bigadic,1191,1191,1,,,,,0,0,20,10,TR-10,TR221,14472.73,1076347,1189057,NA,NA,1,2013
Balıkesir,Burhaniye,Balikesir,Burhaniye,1216,1216,1,,,,,0,0,20,10,TR-10,TR221,14472.73,1076347,1189057,NA,NA,1,2013
Balıkesir,Dursunbey,Balikesir,Dursunbey,1291,1291,1,,,,,0,0,20,10,TR-10,TR221,14472.73,1076347,1189057,NA,NA,1,2013
Balıkesir,Edremit,Balikesir,Edremit,1294,1294,1,,,,,0,0,20,10,TR-10,TR221,14472.73,1076347,1189057,NA,NA,1,2013
Balıkesir,Erdek,Balikesir,Erdek,1310,1310,1,,,,,0,0,20,10,TR-10,TR221,14472.73,1076347,1189057,NA,NA,1,2013
Balıkesir,Gömeç,Balikesir,Gomec,1928,1928,1,,05/20/90,,,0,0,20,10,TR-10,TR221,14472.73,1076347,1189057,NA,NA,1,2013
Balıkesir,Gönen,Balikesir,Gonen,1360,1360,1,,,,,0,0,20,10,TR-10,TR221,14472.73,1076347,1189057,NA,NA,1,2013
Balıkesir,Havran,Balikesir,Havran,1384,1384,1,,,,,0,0,20,10,TR-10,TR221,14472.73,1076347,1189057,NA,NA,1,2013
Balıkesir,İvrindi,Balikesir,Ivrindi,1418,1418,1,,,,,0,0,20,10,TR-10,TR221,14472.73,1076347,1189057,NA,NA,1,2013
Balıkesir,Karesi,Balikesir,Karesi,1168,2078,1,,12/06/12,Merkez,8,0,1,20,10,TR-10,TR221,14472.73,1076347,1189057,NA,NA,1,2013
Balıkesir,Kepsut,Balikesir,Kepsut,1462,1462,1,,,,,0,0,20,10,TR-10,TR221,14472.73,1076347,1189057,NA,NA,1,2013
Balıkesir,Manyas,Balikesir,Manyas,1514,1514,1,,,,,0,0,20,10,TR-10,TR221,14472.73,1076347,1189057,NA,NA,1,2013
Balıkesir,Marmara,Balikesir,Marmara,1824,1824,1,,,,,0,0,20,10,TR-10,TR221,14472.73,1076347,1189057,NA,NA,1,2013
Balıkesir,Merkez,Balikesir,Merkez,1168,1168,0,,,,8,1,0,20,10,TR-10,TR221,14472.73,1076347,1189057,NA,NA,1,2013
Balıkesir,Savaştepe,Balikesir,Savastepe,1608,1608,1,,,,,0,0,20,10,TR-10,TR221,14472.73,1076347,1189057,NA,NA,1,2013
Balıkesir,Sındırgı,Balikesir,Sindirgi,1619,1619,1,,,,,0,0,20,10,TR-10,TR221,14472.73,1076347,1189057,NA,NA,1,2013
