NAME_1_TR,NAME_2_TR,NAME_1_EN,NAME_2_EN,DIST_CNT,CODE,IN_MIB,fromshp1,fromshp2,,IN_GADM
BURDUR,KARAMANLI,BURDUR,KARAMANLI,10,1813,1,BURDUR ,KARAMANLI,TRUE,1
BURDUR,KEMER,BURDUR,KEMER,10,1816,1,BURDUR ,KEMER,TRUE,1
BURDUR,MERKEZ,BURDUR,MERKEZ,,1215,0,BURDUR ,MERKEZ,TRUE,1
BURDUR,TEFENNİ,BURDUR,TEFENNI,10,1672,1,BURDUR ,TEFENNİ,TRUE,1
BURDUR,YEŞİLOVA,BURDUR,YESILOVA,10,1728,1,BURDUR ,YEŞİLOVA,TRUE,1
BURSA,BÜYÜKORHAN,BURSA,BUYUKORHAN,17,1783,1,BURSA ,BÜYÜKORHAN,TRUE,1
BURSA,GEMLİK,BURSA,GEMLIK,17,1343,1,BURSA ,GEMLİK,TRUE,1
BURSA,GÜRSU,BURSA,GURSU,17,1935,1,BURSA ,GÜRSU,TRUE,1
BURSA,HARMANCIK,BURSA,HARMANCIK,17,1799,1,BURSA ,HARMANCIK,TRUE,1
BURSA,İNEGÖL,BURSA,INEGOL,17,1411,1,BURSA ,İNEGÖL,TRUE,1
BURSA,İZNİK,BURSA,IZNIK,17,1420,1,BURSA ,İZNİK,TRUE,1
BURSA,KARACABEY,BURSA,KARACABEY,17,1434,1,BURSA ,KARACABEY,TRUE,1
BURSA,KELES,BURSA,KELES,17,1457,1,BURSA ,KELES,TRUE,1
BURSA,KESTEL,BURSA,KESTEL,17,1960,1,BURSA ,KESTEL,TRUE,1
BURSA,MUDANYA,BURSA,MUDANYA,17,1530,1,BURSA ,MUDANYA,TRUE,1
BURSA,MUSTAFAKEMALPAŞA,BURSA,MUSTAFAKEMALPASA,17,1535,1,BURSA ,MUSTAFAKEMALPAŞA,TRUE,1
BURSA,NİLÜFER,BURSA,NILUFER,17,1829,1,BURSA ,NİLÜFER,TRUE,1
BURSA,ORHANELİ,BURSA,ORHANELI,17,1553,1,BURSA ,ORHANELİ,TRUE,1
BURSA,ORHANGAZİ,BURSA,ORHANGAZI,17,1554,1,BURSA ,ORHANGAZİ,TRUE,1
BURSA,OSMANGAZİ,BURSA,OSMANGAZI,17,1832,1,BURSA ,OSMANGAZİ,TRUE,1
BURSA,YENİŞEHİR,BURSA,YENISEHIR,17,1725,1,BURSA ,YENİŞEHİR,TRUE,1
BURSA,YILDIRIM,BURSA,YILDIRIM,17,1859,1,BURSA ,YILDIRIM,TRUE,1
